Episode,Total Reward,Epsilon,Steps,Success,Exploration,Exploitation,Max Q-value
362,21,0.16373146555890544,56,1,14,42,60.0
363,44,0.16291280823111093,33,1,5,28,60.228524770401414
364,46,0.16209824418995536,31,1,5,26,61.19564218389196
365,60,0.16128775296900558,17,1,1,16,61.67920089063724
366,60,0.16048131420416054,17,1,1,16,61.92098024400988
367,58,0.15967890763313974,19,1,4,15,62.0418699206962
368,59,0.15888051309497406,18,1,3,15,62.10231475903936
369,55,0.1580861105294992,22,1,5,17,62.13253717821094
370,61,0.1572956799768517,16,1,1,15,62.14764838779673
371,62,0.15650920157696743,15,1,0,15,62.15520399258962
372,53,0.1557266555690826,24,1,10,14,62.15898179498607
373,61,0.1549480222912372,16,1,2,14,62.16087069618429
374,62,0.15417328217978102,15,1,0,15,62.161815146783404
375,56,0.1534024157688821,21,1,7,14,62.16228737208296
376,57,0.1526354036900377,20,1,4,16,62.16252348473274
377,60,0.1518722266715875,17,1,2,15,62.162641541057624
378,61,0.15111286553822956,16,1,2,14,62.16270056922007
379,60,0.15035730121053842,17,1,2,15,62.1627300833013
380,62,0.14960551470448571,15,1,3,12,62.16274484034191
381,59,0.14885748713096328,18,1,2,16,62.16275221886221
382,61,0.14811319969530845,16,1,1,15,62.162755908122364
383,60,0.1473726336968319,17,1,2,15,62.16275775275244
384,59,0.14663577052834775,18,1,3,15,62.16275867506748
385,57,0.14590259167570602,20,1,3,17,62.162759136225
386,62,0.1451730787173275,15,1,1,14,62.162759366803755
387,62,0.14444721332374086,15,1,0,15,62.162759482093136
388,59,0.14372497725712216,18,1,4,14,62.16275953973783
389,58,0.14300635237083656,19,1,4,15,62.162759568560176
390,60,0.14229132060898236,17,1,2,15,62.16275958297135
391,60,0.14157986400593744,17,1,2,15,62.16275959017693
392,61,0.14087196468590776,16,1,1,15,62.162759593779725
393,59,0.14016760486247823,18,1,3,15,62.16275959558112
394,56,0.13946676683816583,21,1,3,18,62.16275959648182
395,57,0.138769433003975,20,1,6,14,62.16275959693217
396,61,0.13807558583895513,16,1,3,13,62.16275959715735
397,61,0.13738520790976036,16,1,1,15,62.16275959726993
398,61,0.13669828187021155,16,1,3,13,62.16275959732623
399,61,0.13601479046086049,16,1,2,14,62.16275959735437
400,56,0.1353347165085562,21,1,4,17,62.16275959736845
401,59,0.1346580429260134,18,1,4,14,62.162759597375484
402,60,0.13398475271138335,17,1,3,14,62.162759597379
403,57,0.13331482894782642,20,1,5,15,62.162759597380756
404,61,0.13264825480308728,16,1,2,14,62.16275959738164
405,62,0.13198501352907185,15,1,2,13,62.16275959738208
406,60,0.1313250884614265,17,1,2,15,62.1627595973823
407,62,0.13066846301911936,15,1,1,14,62.162759597382404
408,62,0.13001512070402377,15,1,2,13,62.16275959738246
409,61,0.12936504510050365,16,1,1,15,62.16275959738249
410,58,0.12871821987500112,19,1,3,16,62.162759597382504
411,62,0.12807462877562611,15,1,1,14,62.16275959738251
412,60,0.12743425563174798,17,1,1,16,62.16275959738252
413,60,0.12679708435358925,17,1,2,15,62.16275959738252
414,58,0.1261630989318213,19,1,4,15,62.16275959738252
415,56,0.1255322834371622,21,1,4,17,62.16275959738252
416,60,0.12490462201997637,17,1,3,14,62.16275959738252
417,56,0.1242800989098765,21,1,4,17,62.16275959738252
418,62,0.12365869841532712,15,1,0,15,62.16275959738252
419,61,0.12304040492325048,16,1,2,14,62.16275959738252
420,58,0.12242520289863423,19,1,3,16,62.16275959738252
421,61,0.12181307688414106,16,1,1,15,62.16275959738252
422,60,0.12120401149972035,17,1,2,15,62.16275959738252
423,60,0.12059799144222175,17,1,3,14,62.16275959738252
424,59,0.11999500148501063,18,1,2,16,62.16275959738252
425,57,0.11939502647758558,20,1,4,16,62.16275959738252
426,62,0.11879805134519765,15,1,0,15,62.16275959738252
427,-171,0.11820406108847166,248,1,31,217,60.0
428,45,0.1176130407830293,32,1,3,29,60.0
429,44,0.11702497557911415,33,1,2,31,60.0
430,27,0.11643985070121858,50,1,10,40,60.0
431,53,0.11585765144771248,24,1,4,20,60.0
432,47,0.11527836319047392,30,1,6,24,60.0
433,50,0.11470197137452155,27,1,3,24,60.249508291570976
434,56,0.11412846151764894,21,1,4,17,61.20613394447675
435,61,0.1135578192100607,16,1,2,14,61.68444677092963
436,61,0.11299003011401039,16,1,1,15,61.92360318415608
437,62,0.11242507996344034,15,1,1,14,62.0431813907693
438,60,0.11186295456362313,17,1,4,13,62.102970494075905
439,62,0.11130363979080501,15,1,0,15,62.13286504572921
440,61,0.11074712159185099,16,1,1,15,62.14781232155586
441,61,0.11019338598389174,16,1,1,15,62.15528595946919
442,61,0.10964241905397228,16,1,2,14,62.15902277842585
443,59,0.10909420695870241,18,1,4,14,62.160891187904184
444,62,0.1085487359239089,15,1,0,15,62.16182539264335
445,61,0.10800599224428936,16,1,1,15,62.162292495012935
446,62,0.10746596228306791,15,1,0,15,62.162526046197726
447,62,0.10692863247165257,15,1,0,15,62.16264282179012
448,61,0.1063939893092943,16,1,2,14,62.16270120958632
449,59,0.10586201936274783,18,1,3,15,62.16273040348442
450,62,0.10533270926593409,15,1,0,15,62.16274500043347
451,60,0.10480604571960442,17,1,1,16,62.16275229890799
452,62,0.1042820154910064,15,1,0,15,62.162755948145254
453,58,0.10376060541355137,19,1,2,17,62.16275777276388
454,62,0.1032418023864836,15,1,0,15,62.1627586850732
455,56,0.10272559337455119,21,1,3,18,62.16275914122786
456,62,0.10221196540767843,15,1,0,15,62.16275936930519
457,60,0.10170090558064004,17,1,1,16,62.162759483343855
458,61,0.10119240105273684,16,1,1,15,62.16275954036318
459,61,0.10068643904747315,16,1,3,13,62.16275956887285
460,60,0.10018300685223579,17,1,2,15,62.16275958312768
461,61,0.0996820918179746,16,1,1,15,62.1627595902551
462,60,0.0996820918179746,17,1,2,15,62.162759593818805
463,60,0.0996820918179746,17,1,1,16,62.16275959560066
464,52,0.0996820918179746,25,1,5,20,62.16275959649159
465,62,0.0996820918179746,15,1,1,14,62.16275959693705
466,62,0.0996820918179746,15,1,0,15,62.162759597159784
467,62,0.0996820918179746,15,1,0,15,62.16275959727115
468,62,0.0996820918179746,15,1,1,14,62.16275959732683
469,55,0.0996820918179746,22,1,3,19,62.16275959735468
